Strategy,Label,NDCG@10,NDCG@20,HR@10,HR@20,MRR,NDCG@10_delta_pct
type1_title_only,T1: Title Only (Baseline),0.034682224725680375,0.04213070798362341,0.06310136495860372,0.09286193779368987,0.028043409959362442,0.0
type2_structured,T2: Structured Attrs,0.03633140359477035,0.044035910395287245,0.06466771089729247,0.09532333855448646,0.029896036560454038,4.76
type3_rich_prose,T3: Rich Prose,0.03447089140334618,0.041415128430218315,0.06287760125307675,0.09084806444394719,0.02774929781679756,-0.61
type4_user_centric,T4: User Centric,0.035860297403509656,0.04340675145703442,0.06332512866413068,0.09330946520474379,0.0296088193862559,3.4
type5_comparative,T5: Comparative,0.0358339144441579,0.043804124692297115,0.06533900201387335,0.09688968449317521,0.029091847231194866,3.32
type6_hybrid,T6: Hybrid (Best),0.03542569178176511,0.0429031452357279,0.06354889236965765,0.09308570149921683,0.028987570365575498,2.14
type7_structured_comparative,T7: Struct+Compare,0.03568838156071315,0.0432839859611652,0.0662340568359812,0.09644215708212128,0.02860028002567388,2.9
