Model,HR@10,NDCG@10,MRR@10,HR@20,NDCG@20,MRR@20,count
BERT4Rec,0.13738813996315002,0.06523997336626053,0.043661054223775864,0.22737818956375122,0.08790145814418793,0.0498313345015049,6034
BERT-Hybrid-Discrete,0.14269141852855682,0.0682239755988121,0.04585358500480652,0.23168709874153137,0.09052181988954544,0.051865752786397934,6034
BERT-Hybrid-Fixed,0.14849187433719635,0.07266096025705338,0.04993883892893791,0.25107723474502563,0.09842213243246078,0.05691596493124962,6034
Caser,0.12595292925834656,0.058129437267780304,0.03787347674369812,0.21345707774162292,0.08012803643941879,0.043845053762197495,6034
GRU4Rec,0.0707656592130661,0.032424964010715485,0.02102825976908207,0.11733510345220566,0.044017381966114044,0.024114467203617096,6034
LightGCN,0.024693403393030167,0.010551994666457176,0.006362030748277903,0.046735167503356934,0.016078781336545944,0.007853886112570763,6034
SASRec,0.09794497489929199,0.044621631503105164,0.028742682188749313,0.1766655594110489,0.06429336220026016,0.03402192145586014,6034
TCN-BERT4Rec,0.13854822516441345,0.06519752740859985,0.043329138308763504,0.23251573741436005,0.08884236216545105,0.04975728690624237,6034
TGT-BERT4Rec,0.14799469709396362,0.06888071447610855,0.04519403353333473,0.24444812536239624,0.09303030371665955,0.05169752612709999,6034
