Model,HR@10,NDCG@10,MRR@10,HR@20,NDCG@20,MRR@20,count
BERT4Rec,0.23456791043281555,0.1084817498922348,0.07070351392030716,0.34567901492118835,0.13689103722572327,0.07865942269563675,162
BERT-Hybrid-Discrete,0.2469135820865631,0.11315367370843887,0.0732387825846672,0.3580246865749359,0.14114266633987427,0.08087442070245743,162
BERT-Hybrid-Fixed,0.2469135820865631,0.11015137284994125,0.06995885074138641,0.34567901492118835,0.1352129876613617,0.07687506824731827,162
Caser,0.22839505970478058,0.09643059968948364,0.05795610696077347,0.3395061790943146,0.12457754462957382,0.065720334649086,162
GRU4Rec,0.04938271641731262,0.022887224331498146,0.0149348434060812,0.11728395521640778,0.04004858806729317,0.019645903259515762,162
LightGCN,0.03086419776082039,0.01250980794429779,0.007098766043782234,0.0555555559694767,0.018737755715847015,0.008797992952167988,162
SASRec,0.1419753134250641,0.07764342427253723,0.05826229602098465,0.25925925374031067,0.10636068135499954,0.06564456224441528,162
TCN-BERT4Rec,0.2222222238779068,0.10664980858564377,0.07103420048952103,0.35185185074806213,0.14011873304843903,0.08057461678981781,162
TGT-BERT4Rec,0.2777777910232544,0.12127494812011719,0.07571527361869812,0.3641975224018097,0.1437557339668274,0.08221998065710068,162
