Model,Type,Short_HR@10,Short_NDCG@10,Short_MRR@10,Medium_HR@10,Medium_NDCG@10,Medium_MRR@10
bert_hybrid_fixed,Hybrid,0.203704,0.111489,0.083458,0.143052,0.067819,0.045223
bert_hybrid_discrete,Hybrid,0.271605,0.125536,0.081555,0.137772,0.063803,0.041748
bert4rec,Baseline,0.234568,0.108482,0.070704,0.134707,0.064047,0.042915
bert_hybrid_continuous,Hybrid,0.216049,0.093937,0.057454,0.135388,0.063587,0.042092
bert_hybrid_learnable,Hybrid,0.240741,0.104008,0.062534,0.132153,0.061857,0.040816
sasrec,Baseline,0.141975,0.077643,0.058262,0.096730,0.043711,0.027928
gru4rec,Baseline,0.055556,0.027250,0.018474,0.067268,0.030712,0.019710
lightgcn,Baseline,0.030864,0.012510,0.007099,0.024523,0.010498,0.006342
