style,exp_dir,HR@10,NDCG@10,MRR@10,HR@20,NDCG@20,MRR@20,best_epoch,best_val_metric
P2_title_genre,results/promptcraft_p2_title_genre_20260407_113303,0.12046908587217331,0.05658140406012535,0.03771998733282089,0.1886993646621704,0.07363641262054443,0.04229575768113136,190,0.05547548457980156
P3_user_centric,results/promptcraft_p3_user_centric_20260407_114301,0.11300639808177948,0.05289473012089729,0.034888483583927155,0.19402985274791718,0.07319621741771698,0.04036710411310196,70,0.058641593903303146
P1_title_only,results/promptcraft_p1_title_only_20260407_112312,0.10874200612306595,0.049906738102436066,0.032497379928827286,0.20575693249702454,0.07395326346158981,0.03884216770529747,170,0.054652415215969086
baseline_random_init,results/promptcraft_baseline_random_init_20260407_111334,0.10234542191028595,0.045311879366636276,0.02812383510172367,0.18443496525287628,0.0659976378083229,0.0337659977376461,125,0.05446590855717659
P4_hybrid,results/promptcraft_p4_hybrid_20260407_115125,0.09914712607860565,0.04233851283788681,0.025554202497005463,0.18656717240810394,0.06435585767030716,0.03155609592795372,80,0.05865151807665825
