Model,HR@10,NDCG@10,MRR@10,HR@20,NDCG@20,MRR@20,count
BERT4Rec,0.08568075299263,0.03872814029455185,0.024612024426460266,0.17370891571044922,0.06056879833340645,0.030385609716176987,852
BERT-Hybrid-Discrete,0.11133603751659393,0.052753839641809464,0.034782472997903824,0.20850202441215515,0.07732117921113968,0.0415264293551445,494
BERT-Hybrid-Fixed,0.1072874516248703,0.04710550978779793,0.02896825596690178,0.21255061030387878,0.07340739667415619,0.036025770008563995,494
Caser,0.10446009784936905,0.05012095719575882,0.03402405232191086,0.17840376496315002,0.06884348392486572,0.03917507827281952,852
GRU4Rec,0.06220657378435135,0.028869114816188812,0.0189279206097126,0.10211268067359924,0.03906458988785744,0.021783439442515373,852
LightGCN,0.06220657378435135,0.02803250029683113,0.017975445836782455,0.10680751502513885,0.0392654724419117,0.02103521302342415,852
SASRec,0.05985915660858154,0.029504796490073204,0.020429987460374832,0.13497652113437653,0.04811091721057892,0.025333140045404434,852
TCN-BERT4Rec,0.1295546591281891,0.05956931412220001,0.03890334814786911,0.24089069664478302,0.08746922016143799,0.04641645774245262,494
TGT-BERT4Rec,0.12145749479532242,0.05889947712421417,0.04039505869150162,0.20647773146629333,0.08006308227777481,0.046025365591049194,494
