Model,Best Epoch,Best Val NDCG@10
BERT4Rec,82,0.060911934822797775
BERT-Hybrid-Discrete,63,
BERT-Hybrid-Fixed,41,
Caser,35,0.05525527894496918
GRU4Rec,39,0.03257085755467415
LightGCN,28,0.023181259632110596
SASRec,19,0.04661202430725098
TCN-BERT4Rec,89,
TGT-BERT4Rec,52,
