Model,HR@10,NDCG@10,MRR@10,HR@20,NDCG@20,MRR@20,count
BERT4Rec,0.1860465109348297,0.10614572465419769,0.0825258418917656,0.2906976640224457,0.13211390376091003,0.08938740938901901,86
BERT-Hybrid-Discrete,0.19767442345619202,0.09388768672943115,0.0629521980881691,0.25581395626068115,0.10817940533161163,0.06666313856840134,86
BERT-Hybrid-Fixed,0.1860465109348297,0.0863506868481636,0.057248979806900024,0.3139534890651703,0.11899834871292114,0.06633645296096802,86
Caser,0.1744185984134674,0.09214809536933899,0.06779254227876663,0.24418604373931885,0.10931989550590515,0.0722406879067421,86
GRU4Rec,0.09302325546741486,0.043518781661987305,0.028709854930639267,0.1627907007932663,0.0612996444106102,0.03365623205900192,86
LightGCN,0.12790697813034058,0.06237451359629631,0.04228959232568741,0.24418604373931885,0.09172383695840836,0.050290368497371674,86
SASRec,0.151162788271904,0.07758088409900665,0.05426356941461563,0.25581395626068115,0.10393626242876053,0.06144195422530174,86
TCN-BERT4Rec,0.19767442345619202,0.09365588426589966,0.06115725263953209,0.3255814015865326,0.12523533403873444,0.06944171339273453,86
TGT-BERT4Rec,0.22093023359775543,0.12814918160438538,0.10022610425949097,0.3255814015865326,0.15370847284793854,0.10677290707826614,86
