Model,HR@10,NDCG@10,MRR@10,HR@20,NDCG@20,MRR@20,count
BERT4Rec,0.09488273411989212,0.0449092835187912,0.029921820387244225,0.18443496525287628,0.06712837517261505,0.03579515591263771,938
BERT-Hybrid-Discrete,0.08528784662485123,0.04024266451597214,0.026590688154101372,0.15351812541484833,0.05749008432030678,0.03132454678416252,938
BERT-Hybrid-Fixed,0.08635395020246506,0.03933287039399147,0.02523818053305149,0.17270790040493011,0.06099610775709152,0.031095363199710846,938
Caser,0.11087420582771301,0.05397419258952141,0.03712009638547897,0.18443496525287628,0.07255455106496811,0.04220667853951454,938
GRU4Rec,0.0650319829583168,0.03021226078271866,0.019824771210551262,0.10767590999603271,0.04110320284962654,0.022871991619467735,938
LightGCN,0.0682302787899971,0.031181128695607185,0.02020467445254326,0.11940298974514008,0.04407508671283722,0.023717453703284264,938
SASRec,0.0682302787899971,0.033912625163793564,0.023532001301646233,0.1460554450750351,0.05322923883795738,0.028643757104873657,938
TCN-BERT4Rec,0.11940298974514008,0.05509110167622566,0.0357828214764595,0.2110874205827713,0.07802239805459976,0.041939254850149155,938
TGT-BERT4Rec,0.09808102250099182,0.048962920904159546,0.03445485234260559,0.168443500995636,0.06648200005292892,0.03911793231964111,938
