style,exp_dir,HR@10,NDCG@10,MRR@10,HR@20,NDCG@20,MRR@20,best_epoch,best_val_metric
P2_title_genre,results/promptcraft_p2_title_genre_20260407_130832,0.10980810225009918,0.05337386950850487,0.03661835193634033,0.19083155691623688,0.07378731667995453,0.042180873453617096,55,0.05620143935084343
P1_title_only,results/promptcraft_p1_title_only_20260407_125858,0.11300639808177948,0.05144543945789337,0.0330236591398716,0.18443496525287628,0.06932057440280914,0.03783070296049118,105,0.056731436401605606
P4_hybrid,results/promptcraft_p4_hybrid_20260407_132256,0.09914712607860565,0.04720291867852211,0.03157046437263489,0.18443496525287628,0.06841856241226196,0.03720930963754654,65,0.05694454163312912
baseline_random_init,results/promptcraft_baseline_random_init_20260407_124942,0.10234542191028595,0.045311879366636276,0.02812383510172367,0.18443496525287628,0.0659976378083229,0.0337659977376461,125,0.05446590855717659
P3_user_centric,results/promptcraft_p3_user_centric_20260407_131557,0.10127931833267212,0.04368593543767929,0.02680009976029396,0.18017058074474335,0.0633009672164917,0.03200825676321983,45,0.052200838923454285
