Model,HR@10,NDCG@10,MRR@10,HR@20,NDCG@20,MRR@20,count
BERT4Rec,0.13470707833766937,0.06404700130224228,0.042914990335702896,0.22411443293094635,0.08654989302158356,0.04903601109981537,5872
BERT-Hybrid-Discrete,0.18340441584587097,0.08839951455593109,0.059814926236867905,0.2877084016799927,0.11456457525491714,0.06688506156206131,2579
BERT-Hybrid-Fixed,0.19271035492420197,0.0962548479437828,0.06719135493040085,0.31097325682640076,0.1257772296667099,0.0750948116183281,2579
Caser,0.12312670052051544,0.057072754949331284,0.037319429218769073,0.2099795639514923,0.0789017304778099,0.04324154928326607,5872
GRU4Rec,0.07135558128356934,0.03268809616565704,0.02119636908173561,0.11733651161193848,0.044126879423856735,0.024237746372818947,5872
LightGCN,0.024523161351680756,0.010497980751097202,0.006341705564409494,0.046491824090480804,0.016005422919988632,0.007827838882803917,5872
SASRec,0.09673024713993073,0.043710608035326004,0.027928275987505913,0.1743869185447693,0.06313278526067734,0.03314949944615364,5872
TCN-BERT4Rec,0.18379217386245728,0.08671192079782486,0.05783018469810486,0.290422648191452,0.11355157941579819,0.06513524055480957,2579
TGT-BERT4Rec,0.19115936756134033,0.08952067047357559,0.05892111361026764,0.31485071778297424,0.12047833204269409,0.0672464519739151,2579
