Model,HR@10,NDCG@10,MRR@10,Best Epoch,Directory
tcn_bert4rec,0.13854822516441345,0.06519752740859985,0.043329138308763504,84,results/tcn_bert4rec_20260224_040933
hybrid_fixed,0.09993370622396469,0.04707982391119003,0.03138774260878563,39,results/hybrid_fixed_20260217_090038
sasrec,0.09628770500421524,0.045034121721982956,0.029859302565455437,49,results/sasrec_20260217_083601
hybrid_continuous,0.09612197428941727,0.04411693662405014,0.028611017391085625,48,results/hybrid_continuous_20260217_104150
hybrid_learnable,0.0933046042919159,0.04370739310979843,0.028959836810827255,47,results/hybrid_learnable_20260217_095648
hybrid_discrete,0.08054358512163162,0.03650481253862381,0.023407042026519775,18,results/hybrid_discrete_20260217_093549
